Country Name,Country Code,Indicator Name,Indicator Code,Attribute,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"Bahamas, The",313,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1.02041,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bermuda,319,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.85714,0.869045,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Micronesia,868,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Panama,283,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Timor-Leste,537,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
United States,111,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,614,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.877436e-8,2.874936e-8,2.874936e-8,2.874936e-8,2.874936e-8,2.874936e-8,2.874936e-8,2.874936e-8,2.874936e-8,2.865452666666668e-8,2.866844333333332e-8,2.873486e-8,2.867844333333332e-8,2.875202666666668e-8,2.881977666666668e-8,2.877852666666668e-8,2.882386e-8,2.884161e-8,2.872761e-8,2.856119333333332e-8,2.862511e-8,2.819112e-8,2.7052815e-8,2.451462e-8,2.540760083333332e-8,2.555218083333332e-8,2.938362333333332e-8,2.9918e-8,2.9918e-8,2.9918e-8,2.9918e-8,2.9918e-8,2.9918e-8,2.9918e-8,2.9918e-8,2.9918e-8,2.9918e-8,2.9918e-8,2.9918e-8,2.9918e-8,2.9918e-8,5.509833333333335e-8,2.514166666666668e-7,2.660166666666668e-6,5.9515e-5,0.002750229583333332,0.1280291666666667,0.2290400833333333,0.3928235175,2.790706166666668,10.04054416666667,22.05786166666667,43.53020666666668,74.60630083333332,83.54136250000002,87.15914166666668,80.36807205555554,76.70614275,75.03335416666668,79.32816666666668,91.9057203405018,93.93475000000002,95.467955421311,96.51827947915258,98.3024168556335,120.0607016650187,163.6564341165789,165.9159506914978,252.855747731297,364.8258049808865,578.2587802801105,631.441955506727,460.5675116314618,685.0202377614488,869.8461895900078,911.99303781631
Netherlands Antilles,353,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88586000088586,1.88586000088586,1.88586000088586,1.88586000088586,1.88586000088586,1.88586000088586,1.88586000088586,1.88586000088586,1.88586000088586,1.88586000088586,1.88586000088586,1.88585166755252,1.88585000088585,1.88585000088585,1.88585000088585,1.88585000088585,1.88585000088585,1.88585000088585,1.88585000088585,1.88585000088585,1.88585000088585,1.88341795350677,1.799999999,1.799999999,1.799999999,1.799999999,1.799999999,1.799999999,1.799999999,1.799999999,1.799999999,1.799999999,1.799999999,1.799999999,1.79999999958333,1.8,1.8,1.8,1.8,1.79333333333333,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,311,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.761908334095242,2.000000001,2.000000001,2.000000001,1.974872733211454,1.921278149476007,1.95921923598161,2.053232408517626,2.169795832333334,2.614670832833332,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Australia,193,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.892856999892857,0.8826702592955478,0.8386978072622072,0.704113907966658,0.696665868638096,0.7638712489999998,0.8182840823333332,0.901824999,0.873659249,0.8946409156666665,0.8782443323333332,0.8702145823333335,0.9858628323333332,1.110014999166666,1.139519165916666,1.4318949995,1.495974166416666,1.42818,1.279908333333333,1.264596666666666,1.281056666666667,1.283755833333333,1.361648333333333,1.47056,1.367750833333334,1.3490325,1.277863333333333,1.34738,1.591828333333334,1.54995,1.724826666666667,1.9334425,1.8405625,1.541914166666667,1.3597525,1.309473333333334,1.3279734405,1.1950725,1.192178333333333,1.282188810084518,1.090159486386772,0.9694632014967351,0.9658010306587078,1.035843096520538,1.109363292816917,1.331090262455018,1.345213976019468,1.304758076715922,1.338412146464508,1.438506544213818,1.45308511847016,1.331224259570809,1.441664458965217,1.505191065605085,1.51535803855596,1.551997886648505
